Fx Fz M_max M_min
-6 -6 0.504594 -0.0798377
-5.9 -6 0.501367 -0.0842256
-5.8 -6 0.498139 -0.0886134
-5.7 -6 0.494912 -0.0930013
-5.6 -6 0.491685 -0.0973891
-5.5 -6 0.488458 -0.101777
-5.4 -6 0.485231 -0.106165
-5.3 -6 0.482003 -0.110553
-5.2 -6 0.478776 -0.114941
-5.1 -6 0.475549 -0.119328
-5 -6 0.472322 -0.123716
-4.9 -6 0.469095 -0.128104
-4.8 -6 0.465868 -0.132492
-4.7 -6 0.46264 -0.13688
-4.6 -6 0.459413 -0.141268
-4.5 -6 0.456186 -0.145656
-4.4 -6 0.452959 -0.150043
-4.3 -6 0.449732 -0.154431
-4.2 -6 0.446504 -0.158819
-4.1 -6 0.443277 -0.163207
-4 -6 0.44005 -0.167595
-3.9 -6 0.436823 -0.171983
-3.8 -6 0.433596 -0.176371
-3.7 -6 0.430368 -0.180758
-3.6 -6 0.427141 -0.185146
-3.5 -6 0.423914 -0.189534
-3.4 -6 0.420687 -0.193922
-3.3 -6 0.41746 -0.19831
-3.2 -6 0.414232 -0.202698
-3.1 -6 0.411005 -0.207086
-3 -6 0.407778 -0.211473
-2.9 -6 0.404551 -0.215861
-2.8 -6 0.401324 -0.220249
-2.7 -6 0.398097 -0.223828
-2.6 -6 0.394869 -0.227055
-2.5 -6 0.391642 -0.230283
-2.4 -6 0.388415 -0.23351
-2.3 -6 0.385188 -0.236737
-2.2 -6 0.381961 -0.239964
-2.1 -6 0.378733 -0.243191
-2 -6 0.375506 -0.246419
-1.9 -6 0.372279 -0.249646
-1.8 -6 0.369052 -0.252873
-1.7 -6 0.365825 -0.2561
-1.6 -6 0.362597 -0.259327
-1.5 -6 0.35937 -0.262555
-1.4 -6 0.356143 -0.265782
-1.3 -6 0.352916 -0.269009
-1.2 -6 0.349689 -0.272236
-1.1 -6 0.346461 -0.275463
-1 -6 0.343234 -0.278691
-0.9 -6 0.340007 -0.281918
-0.8 -6 0.33678 -0.285145
-0.7 -6 0.333553 -0.288372
-0.6 -6 0.330326 -0.291599
