Fx1 Fz1 M_max M_min
-0.5 -6 0.300163 -0.304547
-0.4 -6 0.300601 -0.304109
-0.3 -6 0.30104 -0.30367
-0.2 -6 0.301478 -0.303232
-0.1 -6 0.301917 -0.302793
1.52933e-14 -6 0.302355 -0.302355
0.1 -6 0.302793 -0.301917
0.2 -6 0.303232 -0.301478
0.3 -6 0.30367 -0.30104
0.4 -6 0.304109 -0.300601
0.5 -6 0.304547 -0.300163
0.6 -6 0.304985 -0.299725
0.7 -6 0.305424 -0.299286
0.8 -6 0.305862 -0.298848
0.9 -6 0.306301 -0.298409
1 -6 0.306739 -0.297971
1.1 -6 0.307177 -0.297532
1.2 -6 0.307616 -0.297094
1.3 -6 0.308054 -0.296656
1.4 -6 0.308493 -0.296217
1.5 -6 0.308931 -0.295779
1.6 -6 0.309369 -0.29534
1.7 -6 0.309808 -0.294902
1.8 -6 0.310246 -0.294464
1.9 -6 0.310685 -0.294025
2 -6 0.311123 -0.293587
2.1 -6 0.311561 -0.293148
2.2 -6 0.312 -0.29271
2.3 -6 0.312438 -0.292272
2.4 -6 0.312877 -0.291833
2.5 -6 0.313315 -0.291395
2.6 -6 0.313753 -0.290956
2.7 -6 0.314192 -0.290518
2.8 -6 0.314667 -0.29008
2.9 -6 0.314191 -0.289641
3 -6 0.313716 -0.289203
3.1 -6 0.31324 -0.288764
3.2 -6 0.312764 -0.288326
3.3 -6 0.312289 -0.287888
3.4 -6 0.311813 -0.287449
3.5 -6 0.311338 -0.287011
3.6 -6 0.310862 -0.286572
3.7 -6 0.310387 -0.286134
3.8 -6 0.309911 -0.285696
3.9 -6 0.309436 -0.285257
4 -6 0.30896 -0.284819
4.1 -6 0.308484 -0.28438
4.2 -6 0.308009 -0.283942
4.3 -6 0.307533 -0.283504
4.4 -6 0.307058 -0.283065
4.5 -6 0.306582 -0.282627
4.6 -6 0.306107 -0.282188
4.7 -6 0.305631 -0.28175
4.8 -6 0.305156 -0.281312
4.9 -6 0.30468 -0.280873
5 -6 0.304204 -0.280435
5.1 -6 0.303729 -0.279996
5.2 -6 0.303253 -0.279558
5.3 -6 0.302778 -0.27912
5.4 -6 0.302302 -0.278681
5.5 -6 0.301827 -0.278243
5.6 -6 0.301351 -0.277804
5.7 -6 0.300875 -0.277366
5.8 -6 0.3004 -0.276928
5.9 -6 0.299924 -0.276489
6 -6 0.299449 -0.276051
6.1 -6 0.298973 -0.275612
6.2 -6 0.298498 -0.275174
6.3 -6 0.298022 -0.274736
6.4 -6 0.297547 -0.274297
6.5 -6 0.297071 -0.273859
6.6 -6 0.296595 -0.27342
6.7 -6 0.29612 -0.272982
6.8 -6 0.295644 -0.272544
6.9 -6 0.295169 -0.272105
7 -6 0.294693 -0.271667
7.1 -6 0.294218 -0.271228
7.2 -6 0.293742 -0.27079
7.3 -6 0.293266 -0.270352
7.4 -6 0.292791 -0.269913
7.5 -6 0.292315 -0.269475
7.6 -6 0.29184 -0.269036
7.7 -6 0.291364 -0.268598
7.8 -6 0.290889 -0.26816
7.9 -6 0.290413 -0.267721
8 -6 0.289938 -0.267283
